Exam,Section(s),Day,Date,Start,Finish,Location
ENVE 121,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,"CPH 1325, 1346, E2 1792"
ENVE 123,001,Friday,"August 2, 2024",4:00 PM,6:00 PM,STC 0020
ENVE 375,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,PAC 1
ENVS 110W,,,,,,See WLU Final Exam Schedule
ENVS 195,001,Thursday,"August 15, 2024",12:30 PM,3:00 PM,DC 1350
ENVS 200,001,Monday,"August 12, 2024",12:30 PM,3:00 PM,PAC 2
ENVS 274W,,,,,,See WLU Final Exam Schedule
ENVS 295W,,,,,,See WLU Final Exam Schedule
FILM 102W,,,,,,See WLU Final Exam Schedule
FR 192A,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
FR 192B,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
FR 251,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
FR 252,081,Saturday,"August 10, 2024",9:00 AM,11:30 AM,Confirm individual schedule in Odyssey
FR 297,081,Saturday,"August 10, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
GC 280SW,,,,,,See WLU Final Exam Schedule
GENE 101,001,Tuesday,"August 13, 2024",12:30 PM,2:30 PM,RCH 306
GEOE 121,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,"CPH 1325, 1346, E2 1792"
GEOE 123,001,Friday,"August 2, 2024",4:00 PM,6:00 PM,STC 0020
GEOE 353,001,Thursday,"August 8, 2024",12:30 PM,3:00 PM,RCH 307
GEOG 101W,,,,,,See WLU Final Exam Schedule
GEOG 102,081,Thursday,"August 15, 2024",,,Online-See instructor for exam details
GEOG 102W,,,,,,See WLU Final Exam Schedule
GEOG 209,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,PAC 2
GEOG 271W,,,,,,See WLU Final Exam Schedule
GEOG 310,001,Tuesday,"August 6, 2024",4:00 PM,6:30 PM,PAC 5
GEOG 357,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,Online-See instructor for exam details
GEOG 459,001,Friday,"August 9, 2024",12:30 PM,2:30 PM,MC 4063
GER 101,081,Friday,"August 9, 2024",4:00 PM,6:00 PM,Confirm individual schedule in Odyssey
GER 202,081,Tuesday,"August 6, 2024",12:30 PM,3:00 PM,Online-See instructor for exam details
GESC 151W,,,,,,See WLU Final Exam Schedule
GLST 388W,,,,,,See WLU Final Exam Schedule
HIST 265,001,Tuesday,"August 6, 2024",12:30 PM,2:30 PM,PAS 1229
ITALST 100,081,Monday,"August 12, 2024",9:00 AM,11:00 AM,Online-See instructor for exam details
KIN 100,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,PAC 6
KIN 100L,001-003,Thursday,"August 8, 2024",4:00 PM,5:30 PM,MC 4020
KIN 221,001,Tuesday,"August 6, 2024",4:00 PM,6:30 PM,"PAC 2, 4"
KIN 232,001,Friday,"August 9, 2024",12:30 PM,3:00 PM,"PAC 7, 8"
MATBUS 471,001,Saturday,"August 10, 2024",7:30 PM,10:00 PM,Confirm individual schedule in Odyssey
MATH 115,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,MC 4063
MATH 117,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,MC 4060
MATH 118,001-005,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,"PAC 6, 7, 8 PAC UPPER 10"
MATH 119,001002,Tuesday,"August 6, 2024",12:30 PM,3:00 PM,"PAC 6, 7, 8"
MATH 127,001,Thursday,"August 15, 2024",4:00 PM,6:30 PM,MC 4061
MATH 127,081,Saturday,"August 10, 2024",7:30 PM,10:00 PM,Confirm individual schedule in Odyssey
MATH 128,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4061
MATH 128,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
MATH 135,081,Saturday,"August 10, 2024",7:30 PM,10:00 PM,Confirm individual schedule in Odyssey
MATH 136,001-003,Tuesday,"August 6, 2024",4:00 PM,6:30 PM,PAC 6
MATH 136,081,Saturday,"August 10, 2024",9:00 AM,11:30 AM,Confirm individual schedule in Odyssey
MATH 137,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
MATH 138,001002,Wednesday,"August 7, 2024",7:30 PM,10:00 PM,MC 4059
MATH 138,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
